"UID","Study","Location","Sex","Age","Trial","Odor","Forced"
"F_16","Field","Tate","Male","Under_50",1,"rose","rose"
"F_16","Field","Tate","Male","Under_50",2,"fish","fish"
"F_16","Field","Tate","Male","Under_50",3,"garlic","garlic"
"F_16","Field","Tate","Male","Under_50",4,"orange","liquorice"
"F_16","Field","Tate","Male","Under_50",5,"peppermint","chewing gum"
"F_16","Field","Southwark","Male","Under_50",1,"fish","fish"
"F_16","Field","Southwark","Male","Under_50",2,"rose","rose"
"F_16","Field","Southwark","Male","Under_50",3,"orange","orange"
"F_16","Field","Southwark","Male","Under_50",4,"peppermint","chewing gum"
"F_16","Field","Southwark","Male","Under_50",5,"garlic","garlic"
"F_16","Field","Borough","Male","Under_50",1,"orange","orange"
"F_16","Field","Borough","Male","Under_50",2,"fish","fish"
"F_16","Field","Borough","Male","Under_50",3,"rose","rose"
"F_16","Field","Borough","Male","Under_50",4,"garlic","garlic"
"F_16","Field","Borough","Male","Under_50",5,"peppermint","chewing gum"
"F_17","Field","Tate","Female","Under_50",1,"fish","fish"
"F_17","Field","Tate","Female","Under_50",2,"peppermint","peppermint"
"F_17","Field","Tate","Female","Under_50",3,"orange","none"
"F_17","Field","Tate","Female","Under_50",4,"garlic","onion"
"F_17","Field","Tate","Female","Under_50",5,"rose","rose"
"F_17","Field","Southwark","Female","Under_50",1,"garlic","onion"
"F_17","Field","Southwark","Female","Under_50",2,"peppermint","chewing gum"
"F_17","Field","Southwark","Female","Under_50",3,"fish","fish"
"F_17","Field","Southwark","Female","Under_50",4,"orange","none"
"F_17","Field","Southwark","Female","Under_50",5,"rose","rose"
"F_17","Field","Borough","Female","Under_50",1,"peppermint","rose"
"F_17","Field","Borough","Female","Under_50",2,"garlic","garlic"
"F_17","Field","Borough","Female","Under_50",3,"rose","rose"
"F_17","Field","Borough","Female","Under_50",4,"fish","oyster"
"F_17","Field","Borough","Female","Under_50",5,"orange","chewing gum"
"F_18","Field","Tate","Female","50+",1,"garlic","turpentine"
"F_18","Field","Tate","Female","50+",2,"peppermint","peppermint"
"F_18","Field","Tate","Female","50+",3,"rose","rose"
"F_18","Field","Tate","Female","50+",4,"orange","orange"
"F_18","Field","Tate","Female","50+",5,"fish","leather"
"F_18","Field","Southwark","Female","50+",1,"orange","lemon"
"F_18","Field","Southwark","Female","50+",2,"peppermint","menthol"
"F_18","Field","Southwark","Female","50+",3,"rose","rose"
"F_18","Field","Southwark","Female","50+",4,"fish","smoke"
"F_18","Field","Southwark","Female","50+",5,"garlic","onion"
"F_18","Field","Borough","Female","50+",1,"orange","orange"
"F_18","Field","Borough","Female","50+",2,"peppermint","peppermint"
"F_18","Field","Borough","Female","50+",3,"garlic","onion"
"F_18","Field","Borough","Female","50+",4,"fish","smoke"
"F_18","Field","Borough","Female","50+",5,"rose","rose"
"F_19","Field","Tate","Male","Under_50",1,"orange","lemon"
"F_19","Field","Tate","Male","Under_50",2,"garlic","chives"
"F_19","Field","Tate","Male","Under_50",3,"fish","aniseed"
"F_19","Field","Tate","Male","Under_50",4,"peppermint","menthol"
"F_19","Field","Tate","Male","Under_50",5,"rose","coconut"
"F_19","Field","Southwark","Male","Under_50",1,"peppermint","menthol"
"F_19","Field","Southwark","Male","Under_50",2,"fish","no smell"
"F_19","Field","Southwark","Male","Under_50",3,"orange","lemon"
"F_19","Field","Southwark","Male","Under_50",4,"rose","orange"
"F_19","Field","Southwark","Male","Under_50",5,"garlic","fish"
"F_19","Field","Borough","Male","Under_50",1,"orange","lemon"
