"Study","UID","Location","Age","Sex","Trial","Odor","Free"
"Field","F_13","Southwark","Under_50","Male",3,"orange","none"
"Field","F_13","Southwark","Under_50","Male",4,"peppermint","familiar"
"Field","F_13","Southwark","Under_50","Male",5,"fish","fish"
"Field","F_13","Borough","Under_50","Male",1,"peppermint","peppermint"
"Field","F_13","Borough","Under_50","Male",2,"garlic","garlic"
"Field","F_13","Borough","Under_50","Male",3,"rose","none"
"Field","F_13","Borough","Under_50","Male",4,"orange","none"
"Field","F_13","Borough","Under_50","Male",5,"fish","fish"
"Field","F_14","Tate","Under_50","Female",1,"fish","fish"
"Field","F_14","Tate","Under_50","Female",2,"rose","berries"
"Field","F_14","Tate","Under_50","Female",3,"orange","orange"
"Field","F_14","Tate","Under_50","Female",4,"peppermint","peppermint"
"Field","F_14","Tate","Under_50","Female",5,"garlic","garlic"
"Field","F_14","Southwark","Under_50","Female",1,"orange","orange"
"Field","F_14","Southwark","Under_50","Female",2,"garlic","garlic"
"Field","F_14","Southwark","Under_50","Female",3,"rose","fruit, berries"
"Field","F_14","Southwark","Under_50","Female",4,"peppermint","peppermint"
"Field","F_14","Southwark","Under_50","Female",5,"fish","fish"
"Field","F_14","Borough","Under_50","Female",1,"fish","fish"
"Field","F_14","Borough","Under_50","Female",2,"garlic","garlic"
"Field","F_14","Borough","Under_50","Female",3,"peppermint","mint"
"Field","F_14","Borough","Under_50","Female",4,"rose","berries"
"Field","F_14","Borough","Under_50","Female",5,"orange","none"
"Field","F_15","Tate","Under_50","Male",1,"orange","orange"
"Field","F_15","Tate","Under_50","Male",2,"rose","none"
"Field","F_15","Tate","Under_50","Male",3,"peppermint","mint"
"Field","F_15","Tate","Under_50","Male",4,"garlic","garlic"
"Field","F_15","Tate","Under_50","Male",5,"fish","fish"
"Field","F_15","Southwark","Under_50","Male",1,"fish","garlic"
"Field","F_15","Southwark","Under_50","Male",2,"orange","orange"
"Field","F_15","Southwark","Under_50","Male",3,"peppermint","peppermint"
"Field","F_15","Southwark","Under_50","Male",4,"rose","fruit sweet"
"Field","F_15","Southwark","Under_50","Male",5,"garlic","garlic"
"Field","F_15","Borough","Under_50","Male",1,"fish","fish"
"Field","F_15","Borough","Under_50","Male",2,"peppermint","orange"
"Field","F_15","Borough","Under_50","Male",3,"rose","orange"
"Field","F_15","Borough","Under_50","Male",4,"garlic","garlic"
"Field","F_15","Borough","Under_50","Male",5,"orange","sweet cherry"
"Field","F_16","Tate","Under_50","Male",1,"rose","rose"
"Field","F_16","Tate","Under_50","Male",2,"fish","fish"
"Field","F_16","Tate","Under_50","Male",3,"garlic","garlic"
"Field","F_16","Tate","Under_50","Male",4,"orange","none"
"Field","F_16","Tate","Under_50","Male",5,"peppermint","mint"
"Field","F_16","Southwark","Under_50","Male",1,"fish","fish"
"Field","F_16","Southwark","Under_50","Male",2,"rose","rose"
"Field","F_16","Southwark","Under_50","Male",3,"orange","orange"
"Field","F_16","Southwark","Under_50","Male",4,"peppermint","chewing gum"
"Field","F_16","Southwark","Under_50","Male",5,"garlic","garlic"
"Field","F_16","Borough","Under_50","Male",1,"orange","orange"
"Field","F_16","Borough","Under_50","Male",2,"fish","fish"
"Field","F_16","Borough","Under_50","Male",3,"rose","rose"
"Field","F_16","Borough","Under_50","Male",4,"garlic","garlic"
"Field","F_16","Borough","Under_50","Male",5,"peppermint","chewing gum"
"Field","F_17","Tate","Under_50","Female",1,"fish","fish"
"Field","F_17","Tate","Under_50","Female",2,"peppermint","mint"
"Field","F_17","Tate","Under_50","Female",3,"orange","pineapple"
